gs.name,g.name
all_IL6-JAK-STAT3_signaling,FAS
all_IL6-JAK-STAT3_signaling,HMOX1
all_IL6-JAK-STAT3_signaling,IRF1
all_IL6-JAK-STAT3_signaling,INHBE
all_IL6-JAK-STAT3_signaling,PF4
all_IL6-JAK-STAT3_signaling,MYD88
all_IL6-JAK-STAT3_signaling,GRB2
all_IL6-JAK-STAT3_signaling,STAM2
all_IL6-JAK-STAT3_signaling,ACVRL1
all_IL6-JAK-STAT3_signaling,CXCL13
all_IL6-JAK-STAT3_signaling,TNFRSF1A
all_IL6-JAK-STAT3_signaling,PTPN11
all_IL6-JAK-STAT3_signaling,PLA2G2A
all_IL6-JAK-STAT3_signaling,TGFB1
all_IL6-JAK-STAT3_signaling,CCR1
all_IL6-JAK-STAT3_signaling,CXCL9
all_IL6-JAK-STAT3_signaling,LTBR
all_IL6-JAK-STAT3_signaling,JUN
all_IL6-JAK-STAT3_signaling,IL3RA
all_IL6-JAK-STAT3_signaling,ACVR1B
all_IL6-JAK-STAT3_signaling,OSMR
all_IL6-JAK-STAT3_signaling,TNF
all_IL6-JAK-STAT3_signaling,TNFRSF1B
all_IL6-JAK-STAT3_signaling,HAX1
all_IL6-JAK-STAT3_signaling,BAK1
all_IL6-JAK-STAT3_signaling,IL15RA
all_IL6-JAK-STAT3_signaling,CXCL1
all_IL6-JAK-STAT3_signaling,IL12RB1
all_IL6-JAK-STAT3_signaling,LEPR
all_IL6-JAK-STAT3_signaling,CSF1
all_IL6-JAK-STAT3_signaling,TNFRSF21
all_IL6-JAK-STAT3_signaling,IL1R1
all_IL6-JAK-STAT3_signaling,CCL7
all_IL6-JAK-STAT3_signaling,IL13RA1
all_IL6-JAK-STAT3_signaling,PIM1
all_IL6-JAK-STAT3_signaling,IL2RA
all_IL6-JAK-STAT3_signaling,CSF2
all_IL6-JAK-STAT3_signaling,IL6
all_IL6-JAK-STAT3_signaling,IRF9
all_IL6-JAK-STAT3_signaling,CD9
all_IL6-JAK-STAT3_signaling,IL6ST
all_IL6-JAK-STAT3_signaling,STAT2
all_IL6-JAK-STAT3_signaling,IL1R2
all_IL6-JAK-STAT3_signaling,A2M
all_IL6-JAK-STAT3_signaling,CD36
all_IL6-JAK-STAT3_signaling,PDGFC
all_IL6-JAK-STAT3_signaling,TLR2
all_IL6-JAK-STAT3_signaling,CRLF2
all_IL6-JAK-STAT3_signaling,IL9R
all_IL6-JAK-STAT3_signaling,CXCL10
all_IL6-JAK-STAT3_signaling,IL2RG
all_IL6-JAK-STAT3_signaling,IFNGR2
all_IL6-JAK-STAT3_signaling,IL17RB
all_IL6-JAK-STAT3_signaling,IL17RA
all_IL6-JAK-STAT3_signaling,PTPN1
all_IL6-JAK-STAT3_signaling,IL7
all_IL6-JAK-STAT3_signaling,IL10RB
all_IL6-JAK-STAT3_signaling,CSF3R
all_IL6-JAK-STAT3_signaling,PTPN2
DC_antigen-crosspresentation,MRC1
DC_antigen-crosspresentation,SEC61A2
DC_antigen-crosspresentation,SEC61A1
DC_antigen-crosspresentation,IFI30
DC_antigen-crosspresentation,SEC61G
DC_antigen-crosspresentation,VCP
DC_antigen-crosspresentation,CTSS
DC_antigen-crosspresentation,CYBB
DC_antigen-crosspresentation,SEC61B
DC_antigen-crosspresentation,TFEB
DC_antigen-crosspresentation,RAB27A
CD8-T_terminal-exhaustion,TOX
CD8-T_terminal-exhaustion,LAG3
CD8-T_terminal-exhaustion,PDCD1
CD8-T_terminal-exhaustion,HAVCR2
CD8-T_terminal-exhaustion,EOMES
CD8-T_terminal-exhaustion,ID2
CD8-T_terminal-exhaustion,CD244
CD8-T_terminal-exhaustion,NR4A3
CD8-T_terminal-exhaustion,NR4A2
CD8-T_terminal-exhaustion,NR4A1
CD8-T_terminal-exhaustion,CXCL13
CD8-T_terminal-exhaustion,IRF4
CD8-T_terminal-exhaustion,PRDM1
all_fatty-acid-beta-oxidation-peroxisomal,EHHADH
all_fatty-acid-beta-oxidation-peroxisomal,ALDH1A1
all_fatty-acid-beta-oxidation-peroxisomal,ZADH2
all_fatty-acid-beta-oxidation-peroxisomal,ADH5
all_fatty-acid-beta-oxidation-peroxisomal,ACOT8
all_fatty-acid-beta-oxidation-peroxisomal,ADH1C
all_fatty-acid-beta-oxidation-peroxisomal,ADH7
all_fatty-acid-beta-oxidation-peroxisomal,ACAA1
all_fatty-acid-beta-oxidation-peroxisomal,ADH1A
all_fatty-acid-beta-oxidation-peroxisomal,ACOX3
all_fatty-acid-beta-oxidation-peroxisomal,ADH6
all_fatty-acid-beta-oxidation-peroxisomal,PHYH
all_fatty-acid-beta-oxidation-peroxisomal,HSD17B4
all_fatty-acid-beta-oxidation-peroxisomal,ACOX1
all_fatty-acid-beta-oxidation-peroxisomal,ADH1B
all_triacylglycerol_synthesis,DGAT2
all_triacylglycerol_synthesis,LIPG
all_triacylglycerol_synthesis,MOGAT2
all_triacylglycerol_synthesis,AGPAT3
all_triacylglycerol_synthesis,PNLIPRP2
all_triacylglycerol_synthesis,AGPAT4
all_triacylglycerol_synthesis,LIPF
all_triacylglycerol_synthesis,PLPP1
all_triacylglycerol_synthesis,MOGAT1
all_triacylglycerol_synthesis,DGAT1
all_triacylglycerol_synthesis,LPL
all_triacylglycerol_synthesis,GPAT4
all_triacylglycerol_synthesis,PLA2G3
all_triacylglycerol_synthesis,MGLL
all_triacylglycerol_synthesis,PLPP2
all_triacylglycerol_synthesis,AGPAT1
all_triacylglycerol_synthesis,GNPAT
all_triacylglycerol_synthesis,AGPAT2
all_triacylglycerol_synthesis,GPAM
all_triacylglycerol_synthesis,PNLIPRP1
all_triacylglycerol_synthesis,LIPC
all_triacylglycerol_synthesis,PNLIP
all_triacylglycerol_synthesis,AGPAT5
all_triacylglycerol_synthesis,PLPP3
all_circadian-rhythm,NR1D1
all_circadian-rhythm,CRY2
all_circadian-rhythm,CSNK1E
all_circadian-rhythm,CSNK1D
all_circadian-rhythm,BHLHE41
all_circadian-rhythm,CRY1
all_circadian-rhythm,CLOCK
all_circadian-rhythm,ARNTL
all_circadian-rhythm,PER2
all_circadian-rhythm,TPTEP2-CSNK1E
all_circadian-rhythm,PER1
all_circadian-rhythm,BHLHE40
all_circadian-rhythm,NPAS2
all_circadian-rhythm,PER3
all_heparan-sulfate_degradation,NAGLU
all_heparan-sulfate_degradation,IDUA
all_heparan-sulfate_degradation,SGSH
all_heparan-sulfate_degradation,GNS
all_heparan-sulfate_degradation,IDS
all_heparan-sulfate_degradation,AC244197.3
all_heparan-sulfate_degradation,GUSB
all_autophagy-of-mitochondria_regulation_positive,HUWE1
all_autophagy-of-mitochondria_regulation_positive,SMURF1
all_autophagy-of-mitochondria_regulation_positive,HK2
all_autophagy-of-mitochondria_regulation_positive,VPS13D
all_autophagy-of-mitochondria_regulation_positive,HIF1A
all_autophagy-of-mitochondria_regulation_positive,MFN2
all_autophagy-of-mitochondria_regulation_positive,HTT
all_autophagy-of-mitochondria_regulation_positive,FBXO7
all_autophagy-of-mitochondria_regulation_positive,OPTN
all_autophagy-of-mitochondria_regulation_positive,GBA
all_autophagy-of-mitochondria_regulation_positive,BNIP3
all_autophagy-of-mitochondria_regulation_positive,CDC37
all_autophagy-of-mitochondria_regulation_positive,ATP5IF1
all_autophagy-of-mitochondria_regulation_positive,PARK7
all_autophagy-of-mitochondria_regulation_positive,PINK1
all_autophagy-of-mitochondria_regulation_positive,CAMKK2
all_autophagy-of-mitochondria_regulation_positive,VPS13C
all_autophagy-of-mitochondria_regulation_positive,PRKN
all_autophagy-of-mitochondria_regulation_positive,MUL1
all_autophagy-of-mitochondria_regulation_positive,TOMM7
all_autophagy-of-mitochondria_regulation_positive,HDAC6
all_type-II-ifn-response,HLA-DPA1
all_type-II-ifn-response,CXCL10
all_type-II-ifn-response,HLA-DRA
all_type-II-ifn-response,HLA-G
all_type-II-ifn-response,HLA-DMB
all_type-II-ifn-response,HLA-DMA
all_type-II-ifn-response,HLA-DOB
all_type-II-ifn-response,MYC
all_type-II-ifn-response,CD274
all_type-II-ifn-response,HLA-DRB3
all_type-II-ifn-response,HLA-DPB1
all_type-II-ifn-response,IRF1
all_type-II-ifn-response,CXCL9
all_type-II-ifn-response,HLA-DRB4
all_type-II-ifn-response,HLA-DQA1
all_type-II-ifn-response,HLA-DQB1
all_type-II-ifn-response,HLA-E
all_autophagy_regulation_positive,EPM2A
all_autophagy_regulation_positive,PRKD1
all_autophagy_regulation_positive,TRIM21
all_autophagy_regulation_positive,PRKAA2
all_autophagy_regulation_positive,TRIM38
all_autophagy_regulation_positive,TRIM13
all_autophagy_regulation_positive,UVRAG
all_autophagy_regulation_positive,PLK3
all_autophagy_regulation_positive,FBXO7
all_autophagy_regulation_positive,DAPK1
all_autophagy_regulation_positive,RALB
all_autophagy_regulation_positive,CAMKK2
all_autophagy_regulation_positive,AMBRA1
all_autophagy_regulation_positive,TP53INP2
all_autophagy_regulation_positive,TRIM6
all_autophagy_regulation_positive,MFN2
all_autophagy_regulation_positive,CLEC16A
all_autophagy_regulation_positive,ELAPOR1
all_autophagy_regulation_positive,IRGM
all_autophagy_regulation_positive,PARK7
all_autophagy_regulation_positive,TRIML1
all_autophagy_regulation_positive,TFEB
all_autophagy_regulation_positive,OPTN
all_autophagy_regulation_positive,BNIP3
all_autophagy_regulation_positive,GSK3A
all_autophagy_regulation_positive,RAB12
all_autophagy_regulation_positive,TRIM5
all_autophagy_regulation_positive,RAB3GAP1
all_autophagy_regulation_positive,TPCN1
all_autophagy_regulation_positive,PLEKHF1
all_autophagy_regulation_positive,HTT
all_autophagy_regulation_positive,HSPB8
all_autophagy_regulation_positive,IFNG
all_autophagy_regulation_positive,EIF2AK4
all_autophagy_regulation_positive,HMOX1
all_autophagy_regulation_positive,GNAI3
all_autophagy_regulation_positive,SESN1
all_autophagy_regulation_positive,SUPT5H
all_autophagy_regulation_positive,HK2
all_autophagy_regulation_positive,BAD
all_autophagy_regulation_positive,PIK3CB
all_autophagy_regulation_positive,DHRSX
all_autophagy_regulation_positive,SH3GLB1
all_autophagy_regulation_positive,PRKN
all_autophagy_regulation_positive,TRIM34
all_autophagy_regulation_positive,GBA
all_autophagy_regulation_positive,FOXO3
all_autophagy_regulation_positive,TMEM59
all_autophagy_regulation_positive,TRIM68
all_autophagy_regulation_positive,TRIM8
all_autophagy_regulation_positive,PIP4K2A
all_autophagy_regulation_positive,ATP5IF1
all_autophagy_regulation_positive,IKBKG
all_autophagy_regulation_positive,LRRK2
all_autophagy_regulation_positive,SH3BP4
all_autophagy_regulation_positive,PIP4K2B
all_autophagy_regulation_positive,PIK3C2A
all_autophagy_regulation_positive,TOMM7
all_autophagy_regulation_positive,SESN2
all_autophagy_regulation_positive,TICAM1
all_autophagy_regulation_positive,HUWE1
all_autophagy_regulation_positive,LARP1
all_autophagy_regulation_positive,PINK1
all_autophagy_regulation_positive,TBK1
all_autophagy_regulation_positive,MEFV
all_autophagy_regulation_positive,MTDH
all_autophagy_regulation_positive,TRIM27
all_autophagy_regulation_positive,STK11
all_autophagy_regulation_positive,CALCOCO2
all_autophagy_regulation_positive,STING1
all_autophagy_regulation_positive,ROCK1
all_autophagy_regulation_positive,VPS13C
all_autophagy_regulation_positive,PRKAA1
all_autophagy_regulation_positive,SIRT1
all_autophagy_regulation_positive,SPTLC2
all_autophagy_regulation_positive,FOXO1
all_autophagy_regulation_positive,SVIP
all_autophagy_regulation_positive,TRIM22
all_autophagy_regulation_positive,SPTLC1
all_autophagy_regulation_positive,IL4
all_autophagy_regulation_positive,NOD1
all_autophagy_regulation_positive,TSC1
all_autophagy_regulation_positive,ATG5
all_autophagy_regulation_positive,RAB3GAP2
all_autophagy_regulation_positive,FYCO1
all_autophagy_regulation_positive,KAT5
all_autophagy_regulation_positive,TRIM65
all_autophagy_regulation_positive,SESN3
all_autophagy_regulation_positive,SMCR8
all_autophagy_regulation_positive,MUL1
all_autophagy_regulation_positive,TP53INP1
all_autophagy_regulation_positive,BAG3
all_autophagy_regulation_positive,ADRB2
all_autophagy_regulation_positive,RNF152
all_autophagy_regulation_positive,HDAC6
all_autophagy_regulation_positive,PIP4K2C
all_autophagy_regulation_positive,KDR
all_autophagy_regulation_positive,RIPK2
all_autophagy_regulation_positive,HIF1A
all_autophagy_regulation_positive,LACRT
all_autophagy_regulation_positive,MID2
all_autophagy_regulation_positive,PHB2
all_autophagy_regulation_positive,LRSAM1
all_autophagy_regulation_positive,ZC3H12A
all_autophagy_regulation_positive,RUFY4
all_autophagy_regulation_positive,BCL2L11
all_autophagy_regulation_positive,SMURF1
all_autophagy_regulation_positive,GPSM1
all_autophagy_regulation_positive,TRIM14
all_autophagy_regulation_positive,PIM2
all_autophagy_regulation_positive,ULK1
all_autophagy_regulation_positive,VPS13D
all_autophagy_regulation_positive,GSK3B
all_autophagy_regulation_positive,FLCN
all_autophagy_regulation_positive,SCOC
all_autophagy_regulation_positive,WAC
all_autophagy_regulation_positive,PAFAH1B2
all_autophagy_regulation_positive,ULK2
all_autophagy_regulation_positive,MAP3K7
all_autophagy_regulation_positive,DCN
all_autophagy_regulation_positive,CDC37
all_autophagy_regulation_positive,ATG7
all_autophagy_regulation_positive,TSC2
all_autophagy_regulation_positive,TRIML2
all_autophagy_regulation_positive,UFL1
all_autophagy_regulation_positive,MAPK3
all_autophagy_regulation_positive,C9orf72
all_autophagy_regulation_positive,HMGB1
all_autophagy_regulation_positive,NPRL2
all_autophagy_regulation_positive,BNIP3L
all_autophagy_regulation_positive,PLK2
all_DNA-demethylation,ADH5
all_DNA-demethylation,TET1
all_DNA-demethylation,TET2
all_DNA-demethylation,TDG
all_DNA-demethylation,ADH6
all_DNA-demethylation,TET3
all_TYR_metabolism,PAH
all_TYR_metabolism,AOC1
all_TYR_metabolism,SLC16A10
all_TYR_metabolism,TAT
all_TYR_metabolism,DUOX2
all_TYR_metabolism,FAH
all_TYR_metabolism,TYRP1
all_TYR_metabolism,SLCO1A2
all_TYR_metabolism,DDC
all_TYR_metabolism,SLC22A2
all_TYR_metabolism,SLC6A4
all_TYR_metabolism,GOT1
all_TYR_metabolism,SLCO1B1
all_TYR_metabolism,SLCO4A1
all_TYR_metabolism,DBH
all_TYR_metabolism,SLC6A3
all_TYR_metabolism,ALDH3A1
all_TYR_metabolism,SLCO1C1
all_TYR_metabolism,SLC18A2
all_TYR_metabolism,ALDH3B2
all_TYR_metabolism,TH
all_TYR_metabolism,AOC2
all_TYR_metabolism,SLCO1B3
all_TYR_metabolism,ALDH3B1
all_TYR_metabolism,SLC18A1
all_TYR_metabolism,MOXD1
all_TYR_metabolism,SLC6A14
all_TYR_metabolism,GOT2
all_TYR_metabolism,MAOB
all_TYR_metabolism,AOC3
all_TYR_metabolism,SULT1A1
all_TYR_metabolism,SULT1A2
all_TYR_metabolism,SULT1A3
all_TYR_metabolism,PNMT
all_TYR_metabolism,SLC22A3
all_TYR_metabolism,COMT
all_TYR_metabolism,HGD
all_TYR_metabolism,SLC16A2
all_TYR_metabolism,TPO
all_TYR_metabolism,GSTZ1
all_TYR_metabolism,ADH4
all_TYR_metabolism,SLC6A2
all_TYR_metabolism,SLC7A5
all_TYR_metabolism,TYR
all_TYR_metabolism,FAHD1
all_TYR_metabolism,HPD
all_TYR_metabolism,DCT
all_TYR_metabolism,SLC7A8
all_TYR_metabolism,MAOA
all_TYR_metabolism,DUOX1
all_TYR_metabolism,COMTD1
all_TYR_metabolism,SLC22A1
B_Breg_UP,TGFB1
B_Breg_UP,IL10
B_Breg_UP,IL12A
B_Breg_UP,EBI3
B_Breg_UP,TGFB2
M_angiogenic-effectors,VEGFB
